C:\Python\Data\IMG\center_2021_01_15_22_29_44_657.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_44_657.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_44_657.jpg, 0, 0, 0, 0.0001016736
C:\Python\Data\IMG\center_2021_01_15_22_29_44_764.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_44_764.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_44_764.jpg, 0, 0, 0, 9.836899E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_44_869.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_44_869.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_44_869.jpg, 0, 0, 0, 0.0001036578
C:\Python\Data\IMG\center_2021_01_15_22_29_44_977.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_44_977.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_44_977.jpg, 0, 0, 0, 0.0001002299
C:\Python\Data\IMG\center_2021_01_15_22_29_45_080.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_080.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_080.jpg, 0, 0, 0, 0.0001038122
C:\Python\Data\IMG\center_2021_01_15_22_29_45_187.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_187.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_187.jpg, 0, 0, 0, 0.0001043916
C:\Python\Data\IMG\center_2021_01_15_22_29_45_294.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_294.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_294.jpg, 0, 0, 0, 9.879257E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_45_396.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_396.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_396.jpg, 0, 0, 0, 0.0001024155
C:\Python\Data\IMG\center_2021_01_15_22_29_45_505.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_505.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_505.jpg, 0, 0, 0, 9.793355E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_45_613.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_613.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_613.jpg, 0, 0, 0, 9.757232E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_45_718.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_718.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_718.jpg, 0, 0, 0, 0.0001001651
C:\Python\Data\IMG\center_2021_01_15_22_29_45_819.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_819.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_819.jpg, 0, 0, 0, 9.874983E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_45_941.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_45_941.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_45_941.jpg, 0, 0, 0, 9.867111E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_46_050.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_46_050.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_46_050.jpg, 0, 0, 0, 9.99815E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_46_153.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_46_153.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_46_153.jpg, 0, 0, 0, 9.902028E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_46_253.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_46_253.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_46_253.jpg, 0, 0, 0, 0.0001037476
C:\Python\Data\IMG\center_2021_01_15_22_29_46_359.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_46_359.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_46_359.jpg, 0, 0, 0, 0.0001026516
C:\Python\Data\IMG\center_2021_01_15_22_29_46_466.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_46_466.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_46_466.jpg, 0, 0, 0, 0.0001022315
C:\Python\Data\IMG\center_2021_01_15_22_29_46_568.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_46_568.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_46_568.jpg, 0, 0, 0, 0.0001063206
C:\Python\Data\IMG\center_2021_01_15_22_29_46_679.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_46_679.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_46_679.jpg, 0, 0, 0, 9.970519E-05
C:\Python\Data\IMG\center_2021_01_15_22_29_46_785.jpg, C:\Python\Data\IMG\left_2021_01_15_22_29_46_785.jpg, C:\Python\Data\IMG\right_2021_01_15_22_29_46_785.jpg, 0, 0, 0, 0.0001013013
